kind,game,sims_per_move,algorithm,n,num_matches,mean_exploitability,median_exploitability,std_exploitability,p10_exploitability,p90_exploitability,mean_diff,median_diff,std_diff,p10_diff,p90_diff,mean_ci95_low,mean_ci95_high,mean_coverage,mean_coverage_frac,mean_elapsed_s,lotr_better_count,oos_better_count,tie_count,max_E_dR2,max_prefix_D,mean_E_W2,mean_E_dR2,mean_abs_regret,mean_chance_diverged_frac,mean_ess_per_sim,mean_log_l,mean_log_l_p5,mean_on_path_frac,mean_on_path_given_chance,mean_prefix_D,mean_prefix_survival,mean_targeted_frac,mean_visit_count_median,mean_visit_count_min,min_ess_per_sim,p95_E_W2,p95_E_dR2,tracking_iters_total,tracking_steps
algorithm,leduc_poker,10000,lotr_step_r05,3,100,1.0003637587226157,0.9917938201675989,0.018245891838309557,0.9887431674127977,1.015412325454441,,,,,,0.9879805042240973,1.0213169517761516,936.0,1.0,119.843,,,,479558808.9445548,7.666666666666667,249588656989.22156,19135.566244124304,56.00488841704612,0.4999997423668754,0.003127704251824947,-5.620610254967663,-8.990405277840688,0.499963617300131,0.9999266713248153,3.258923110528615,0.499963617300131,,5.6103886542724455,1.0,0.00012278985020069806,221648169241.06277,26637.59833843278,2146666.6666666665,214.66666666666666
algorithm,leduc_poker,10000,oos_d05,3,100,1.0084298601405897,1.004254928477413,0.009080067635559462,1.0026015097728773,1.0159281831735727,,,,,,1.0021881550967433,1.0188464968476125,936.0,1.0,87.27733333333333,,,,501298660.1693406,,1079854702160.8008,19056.118793416816,56.05896161014428,,0.003536560182106984,-5.625801412365163,-8.993918436571565,,,,0.5454106992204385,0.5000011962550576,5.558941604932751,1.0,0.00012311758934551258,182985860890.57346,26589.551526783853,2070000.0,207.0
algorithm,leduc_poker,20000,lotr_step_r05,3,100,0.7407347402796493,0.7414876881794809,0.01131778146542997,0.7315449656251103,0.7496233357742552,,,,,,0.7290592849865177,0.751657247672949,936.0,1.0,243.69266666666667,,,,839412819.686176,8.0,235084475884.14893,25250.928955807394,56.207839257158604,0.5000658029816124,0.0020106506524127767,-5.497394260943785,-8.888281672978556,0.499914929871437,0.9999614883714582,3.261363193663335,0.499914929871437,,8.596008376718592,1.0,6.506175514777632e-05,716649081680.4689,26916.734600681466,4260000.0,213.0
algorithm,leduc_poker,20000,oos_d05,3,100,0.7378968590510442,0.7417502929132267,0.010030900324818327,0.7295585677676399,0.7446937767895754,,,,,,0.7265106364812434,0.7454296477586625,936.0,1.0,184.102,,,,819337129.8278307,,544350208204.4204,25164.65959480952,56.47612860840385,,0.0021810548269609454,-5.497460818080659,-8.884983784300255,,,,0.5446861792045191,0.4998803490504395,8.632682025448082,1.0,5.8785504606498425e-05,1497684523460.4316,27197.565818294544,4300000.0,215.0
algorithm,leduc_poker,50000,lotr_step_r05,3,100,0.5446233531924157,0.5359030018009258,0.015847821706567736,0.5352212655590424,0.557513581382385,,,,,,0.5350508314985716,0.5629162262777498,936.0,1.0,597.1863333333334,,,,974825334.6958904,8.0,18816505383378.957,30670.93917873887,55.828502402196726,0.49993221546653777,0.001185612221794471,-5.458787752271845,-8.79802395797542,0.5000606602099608,0.9999857564939015,3.249577146851323,0.5000606602099608,,17.185317256756623,1.0,2.2249657039859582e-05,1339834441956.9329,26432.059844130403,10700000.0,214.0
algorithm,leduc_poker,50000,oos_d05,3,100,0.5443688069763467,0.5400312904019386,0.008549529736733577,0.5390922310628671,0.5513803895195895,,,,,,0.5388574662280992,0.5542176642990022,936.0,1.0,452.16933333333327,,,,1067241113.5032772,,19017283521935.445,30108.485109573277,55.75949359416405,,0.0012217854030477026,-5.443810936901596,-8.799006075575198,,,,0.5457175030780008,0.5000263502362534,17.04961021926098,1.0,2.4522332835183422e-05,1031124676437.8698,26602.84743454617,10716666.666666666,214.33333333333334
algorithm,liars_dice,5000,lotr_step_r05,3,50,0.6537145055211587,0.6495563300338367,0.015109483065752369,0.6428068756064893,0.666285405630757,,,,,,0.6411195119996524,0.670467674529987,5200.666666666667,0.21161566840277776,23.724000000000004,,,,57771373.84580106,6.0,56130563648002.445,4937.870447070524,45.57636230956206,0.5002325813008129,0.003072192808637997,-6.453638494076451,-11.35820438433098,0.4996079933481153,0.9996810253573513,2.3168052475979306,0.4996079933481153,,2.007677383592018,1.0,0.000241263496980543,122221898434497.55,9938.472365087462,416666.6666666667,83.33333333333333
algorithm,liars_dice,5000,oos_d05,3,50,0.6463487372079261,0.6411881528735802,0.009439872724177963,0.6407289383064888,0.6540327698431018,,,,,,0.640614134664716,0.6572439240854822,5401.333333333333,0.21978081597222224,20.634333333333334,,,,245930688.3499892,,126967928478113.27,5622.051554137241,45.79627567384697,,0.0032808745793984784,-6.454854504692455,-11.356458704411006,,,,0.5271972954349698,0.5005577899376805,2.022784617723058,1.0,0.0003094156230799101,303275913841655.2,10042.904622471606,435000.0,87.0
algorithm,liars_dice,10000,lotr_step_r05,3,50,0.5818398917751351,0.584620530961482,0.005700297860610004,0.5771504317238814,0.58541709615185,,,,,,0.5752829069144811,0.585616237449442,7610.666666666667,0.3096788194444444,47.52033333333333,,,,304693524.38336915,7.0,191688833865020.1,8830.8609727914,53.54741039090149,0.5003051491227434,0.0016918526722065636,-6.441046791900503,-11.253570989059845,0.49962059503836115,0.9998515306578857,2.459052557928963,0.49962059503836115,,2.08016724408,1.0,0.00011869092243395418,360528443844651.2,14476.973381373828,883333.3333333334,88.33333333333333
algorithm,liars_dice,10000,oos_d05,3,50,0.5789471021334155,0.5756526045730008,0.0076160318774073955,0.5739568654466942,0.5852551378443028,,,,,,0.5735329306651176,0.5876557711621283,7360.0,0.2994791666666667,37.595333333333336,,,,201403709.4229902,,322795639512227.94,8086.932675838972,52.92008470390189,,0.001816114173248906,-6.382633727229806,-11.222364168469129,,,,0.5262551395546343,0.5003801187545882,2.128360035122569,1.0,0.00011679665631580646,697593467124007.9,14273.591410026078,886666.6666666666,88.66666666666667
