kind,sims_per_move,algorithm,n,mean_exploitability,median_exploitability,std_exploitability,p10_exploitability,p90_exploitability,mean_diff,median_diff,std_diff,p10_diff,p90_diff,mean_ci95_low,mean_ci95_high,mixture_better_count,oos_better_count,tie_count
algorithm,5000,mixture_step_r05,30,0.03739169576867819,0.03740946276919532,0.0025472671875948006,0.03415497806777175,0.039979640684734835,,,,,,0.036523040981235426,0.038306443630373166,,,
algorithm,5000,oos_d05,30,0.03791423575038769,0.03736674735349382,0.003473360837009516,0.03322452095477536,0.0417338983603983,,,,,,0.036693276739111054,0.039169981199119255,,,
algorithm,10000,mixture_step_r05,30,0.02487794582257572,0.025087633439386414,0.0024251296974687076,0.02215126738450812,0.027830204466382815,,,,,,0.024025646062958234,0.02574147571500516,,,
algorithm,10000,oos_d05,30,0.025060843924224235,0.02510405704098831,0.002488637730037196,0.021786529743658186,0.028652485468371625,,,,,,0.02418088627999061,0.025921580340538253,,,
algorithm,20000,mixture_step_r05,30,0.016343355279635756,0.01629959876122347,0.0014545015573889984,0.014800094568348559,0.018606457392693357,,,,,,0.015836201022061645,0.016861790363170735,,,
algorithm,20000,oos_d05,30,0.016601057431085857,0.016816737483547853,0.0013440339443862319,0.015141137649705682,0.018141820335943228,,,,,,0.01611916870011908,0.017074159662390884,,,
algorithm,50000,mixture_step_r05,30,0.00977609467123783,0.009851305529801332,0.000966592506635361,0.008567025711348365,0.010796766515987067,,,,,,0.009424754531938851,0.010099501676708329,,,
algorithm,50000,oos_d05,30,0.009990307261524984,0.009944973123521897,0.0007365128521508574,0.009159916154128556,0.0109373840157245,,,,,,0.009733704726563826,0.01024820472056627,,,
paired_diff,5000,mixture_step_r05_minus_oos_d05,30,,,,,,-0.0005225399817094884,0.0003494865039492673,0.003541789424568996,-0.004214794072068311,0.003520813479374508,-0.0018002878205435437,0.0006926635245231445,14,16,0
paired_diff,10000,mixture_step_r05_minus_oos_d05,30,,,,,,-0.00018289810164851355,9.088172759544322e-05,0.003607438390928266,-0.00555268187520816,0.003938275678884005,-0.0014708552210495284,0.0010425542321520083,13,17,0
paired_diff,20000,mixture_step_r05_minus_oos_d05,30,,,,,,-0.00025770215145009916,-0.00036536152923756504,0.0018764895362231861,-0.0021852573559641457,0.002409315129113629,-0.0009080508068042148,0.000407488528353933,16,14,0
paired_diff,50000,mixture_step_r05_minus_oos_d05,30,,,,,,-0.00021421259028715593,-0.00012238807919469352,0.0011189498675592234,-0.0013458207764353136,0.0011302924736953824,-0.0006318832599951431,0.00016259164053604078,16,14,0
